A,Agilent Technologies,Health Care,Health Care Equipment,6/5/2000,Health Care Equipment,39260
AAL,American Airlines Group,Industrials,Airlines,3/23/2015,Airlines,11073
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,7/9/2015,Automotive Retail,10551
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",11/30/1982,"Technology Hardware, Storage & Peripherals",2236010
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,12/31/2012,Pharmaceuticals,183962
ABC,AmerisourceBergen,Health Care,Health Care Distributors,8/30/2001,Health Care Distributors,21159
ABMD,Abiomed,Health Care,Health Care Equipment,5/31/2018,Health Care Equipment,14596
ABT,Abbott Laboratories,Health Care,Health Care Equipment,3/31/1964,Health Care Equipment,226897
ACN,Accenture,Information Technology,IT Consulting & Other Services,7/6/2011,IT Consulting & Other Services,170311
ADBE,Adobe Inc.,Information Technology,Application Software,5/5/1997,Application Software,240134
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,10/12/1999,Semiconductors,59284
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,7/29/1981,Agricultural Products,31169
ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,3/31/1981,Data Processing & Outsourced Services,71105
ADSK,Autodesk Inc.,Information Technology,Application Software,12/1/1989,Application Software,67774
AEE,Ameren Corp,Utilities,Multi-Utilities,9/19/1991,Multi-Utilities,17961
AEP,American Electric Power,Utilities,Electric Utilities,3/4/1957,Electric Utilities,38812
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,10/2/1998,Independent Power Producers & Energy Traders,19228
AFL,Aflac,Financials,Life & Health Insurance,5/28/1999,Life & Health Insurance,32788
AIG,American International Group,Financials,Property & Casualty Insurance,3/31/1980,Property & Casualty Insurance,36313
AIZ,Assurant,Financials,Multi-line Insurance,4/10/2007,Multi-line Insurance,7399
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,5/31/2016,Insurance Brokers,22796
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,7/12/2007,Internet Services & Infrastructure,16096
ALB,Albemarle Corporation,Materials,Specialty Chemicals,7/1/2016,Specialty Chemicals,18917
ALGN,Align Technology,Health Care,Health Care Supplies,6/19/2017,Health Care Supplies,48430
ALK,Alaska Air Group,Industrials,Airlines,5/13/2016,Airlines,7412
ALL,Allstate Corp,Financials,Property & Casualty Insurance,7/13/1995,Property & Casualty Insurance,31382
ALLE,Allegion,Industrials,Building Products,12/2/2013,Building Products,10106
ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,5/25/2012,Pharmaceuticals,34426
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,3/16/1995,Semiconductor Equipment,108605
AMCR,Amcor plc,Materials,Paper Packaging,6/7/2019,Paper Packaging,17571
AMD,Advanced Micro Devices,Information Technology,Semiconductors,3/20/2017,Semiconductors,110787
AME,Ametek,Industrials,Electrical Components & Equipment,9/23/2013,Electrical Components & Equipment,27890
AMGN,Amgen Inc.,Health Care,Biotechnology,1/2/1992,Biotechnology,134480
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,10/3/2005,Asset Management & Custody Banks,25717
AMT,American Tower Corp.,Real Estate,Specialized REITs,11/19/2007,Specialized REITs,99938
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,11/18/2005,Internet & Direct Marketing Retail,1646130
ANET,Arista Networks,Information Technology,Communications Equipment,8/28/2018,Communications Equipment,24110
ANSS,"ANSYS, Inc.",Information Technology,Application Software,6/19/2017,Application Software,34512
ANTM,Anthem,Health Care,Managed Health Care,7/25/2002,Managed Health Care,72029
AON,Aon plc,Financials,Insurance Brokers,4/23/1996,Insurance Brokers,51918
AOS,A.O. Smith Corp,Industrials,Building Products,7/26/2017,Building Products,9563
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,7/28/1997,Oil & Gas Exploration & Production,7013
APD,Air Products & Chemicals,Materials,Industrial Gases,4/30/1985,Industrial Gases,57633
APH,Amphenol Corp,Information Technology,Electronic Components,9/30/2008,Electronic Components,40664
